act.bj.oupeng.com,Oupeng
act.oupeng.com,Oupeng
ad.mail.ru,Mail.ru
tracker-api.my.com,Mail.ru
ads.mopub.com,Twitter
ads.wapx.cn,wapx
aens.belugaboost.com,Baina
alog.umeng.com,Alibaba
analytics.163.com,163
analytics.query.yahoo.com,Verizon
analytics.rayjump.com,Mobvista
android.datacenter.maxthon.com,Maxthon
api2.sharesdk.cn:5566,ShareSDK
api6.tuisong.baidu.com,Baidu
api1.tuisong.baidu.com,Baidu
afd.baidu.com,Baidu
sofire.baidu.com,Baidu
hpd.baidu.com,Baidu
vse.baidu.com,Baidu
yuyin.baidu.com,Baidu
openrcv.baidu.com,Baidu
api.amplitude.com,Amplitude
api.appsflyer.com,AppsFlyer
api.browser.yandex.ru,Yandex
zen.yandex.ru,Yandex
api.cpu.baidu.com,Baidu
api.hdtv.letv.com,Letv
api.iclient.ifeng.com,ifeng
api.leostat.com,leostat
api.lybrowser.com,lybrowser
api.map.so.com,GeoJSON
api.mindhere.com,mindhere
api.molemon.com,molemon
api.parse.com,JSON Small and Fast Parser
api.pingstart.com:17209,pingstart
api.qdnav.cn,qdnav
api.taplytics.com,Taplytics
api.tuisong.baidu.com,Baidu
api.zcloud.io,zcloud
app.adjust.com,Adjust
applist.dftoutiao.com,toutiao
app.sastatic.sogoucdn.com,sogoucdn
appsupport.roboo.com,Roboo
app.wapx.cn,wapx
au.umeng.co,Alibaba
au.umeng.com,Alibaba
bns.3gie.cn,3GiE
b.appjiagu.com,Appjiagu
c.adbxb.cn,adbxb
cdn.syndication.twimg.com,twimg
channel.api.duapp.com,duapp
ciscobinary.openh264.org,openh264
clb.org.hk,Amazon AWS
client.map.baidu.com,Baidu
c.mse.360.cn,360
m3.s.360.cn,360
cnpolitics.org,cnpolitics
config.push.sogou.com,sogou
connect.facebook.net,Facebook
connect.tapjoy.com,TapJoy
content.tapjoy.com,TapJoy
control.kochava.com,Kochava
cooperation.solo-launcher.com:17209,HiChina
cp.bj.oupeng.com,Oupeng
cp.oupeng.com,Oupeng
crash-cn.opera.com,Opera
cycle.oupeng.com,Oupeng
data.flurry.com,Verizon
dd.browser.360.cn,360
dds.bj.oupeng.com,Oupeng
dds.oupeng.com,Oupeng
events.appsflyer.com,AppsFlyer
g.alicdn.com,alicdn
